Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
198,Diogo Jota,22,32,40.7,1196,2024-2025,27,pt POR,Liverpool,eng Premier League,26,FW,178ae8f8
199,Joshua King,35,51,40.7,1673,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,FWMF,43458538
200,Eldor Shomurodov,26,38,40.6,1097,2024-2025,29,uz UZB,Roma,it Serie A,27,FWMF,57469b2d
201,Luis Rioja,15,22,40.5,2854,2024-2025,30,es ESP,2 Teams,es La Liga,37,FW,eb3dd471
202,Evanilson,42,62,40.4,2319,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,FW,6f3cc2fe
203,Deniz Undav,21,31,40.4,1726,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,FWMF,dd549382
204,Jørgen Strand Larsen,67,100,40.1,2587,2024-2025,24,no NOR,Wolves,eng Premier League,35,FW,f553b2b3
205,Romain Del Castillo,8,12,40.0,1259,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,FW,0be95d34
206,Leon Bailey,6,9,40.0,1139,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,FWMF,3a233281
207,Kylian Mbappé,4,6,40.0,2907,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,FW,42fd9c7f
208,Andrea Colpani,10,15,40.0,1450,2024-2025,25,it ITA,Fiorentina,it Serie A,25,FWMF,6499048c
209,Dan Ndoye,14,21,40.0,2143,2024-2025,23,ch SUI,Bologna,it Serie A,30,FW,8e697a8f
210,Amad Diallo,10,15,40.0,1901,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,MFFW,9dc96f10
211,Emanuel Emegha,26,39,40.0,2293,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,FW,a0c590b9
212,Ousmane Dembélé,4,6,40.0,1730,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,FW,b19db005
213,Paul Wanner,12,18,40.0,1771,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,MFFW,cb64672e
214,Elif Elmas,2,3,40.0,1021,2024-2025,24,mk MKD,Torino,it Serie A,13,FWMF,cf007308
215,Dejan Kulusevski,10,15,40.0,2389,2024-2025,24,se SWE,Tottenham,eng Premier League,32,MFFW,df3cda47
216,Chris Wood,94,143,39.7,2959,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,FW,4e9a0555
217,Anuar,23,35,39.7,1720,2024-2025,29,ma MAR,Valladolid,es La Liga,26,MFFW,c93231dc
218,Thomas Müller,19,29,39.6,1225,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,MFFW,3c6089ab
219,Marvin Ducksch,19,29,39.6,2418,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,FW,638a4d71
220,Cody Gakpo,17,26,39.5,1935,2024-2025,25,nl NED,Liverpool,eng Premier League,35,FW,1971591f
